"core","subcore","sample.label","depth_cm","depth.upr_cm","depth.lwr_cm","depth.range","age.14C","age.14C.se","count.14C","species","size.fraction","n.forams","n.forams.grp","cruise","site","age.14C.count.se","offset","age.14C.cal","age.14C.cal.se"
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2709.35516902925,138.071394680618,3985,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",42.9038971080593,0,2243,192.314126345354
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2711.60283183855,148.622995392551,3376,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",46.6519571579222,0,2248,203.941386744263
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2901.37671472256,155.068662657412,3075,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",52.3034323025885,0,2485,199.753613533773
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2611.18433692187,134.348164873784,4240,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",40.0864559226901,0,2122,183.588542103082
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2641.8820333276,133.195998610027,4326,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",40.1526136999155,0,2160,183.82369164052
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2662.10196919216,136.988817042476,4057,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",41.7797880778407,0,2185,189.342417250555
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2538.28226210115,172.907531942542,2417,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",51.6111119872105,0,2033,226.344121429856
"GeoB 10066-7",NA,"GeoB 10066-7_53cm",53,53,54,"53-54",2891.50733812807,147.830437816211,3421,"G. bulloides","250-400",10,"10","SO184","GeoB 10066-7",49.4192561075163,0,2475,192.129029399277
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",363.882197911402,86.6787595968661,13505,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",3.12972288541316,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",599.736084499712,82.0193712759744,16214,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",4.70775091592408,0,NA,NA
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",779.207774417092,105.836796357045,7731,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",8.85805307108295,0,236,118.424963792653
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",674.281642634979,86.1982207935292,13844,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",5.72810255603663,0,145,94.0558560636124
"GeoB 10058-1",NA,"GeoB 10058-1_11-12cm",11.5,11,12,"11-12",46.6724759606157,106.048325233801,7604,"T. sacculifer","250-400",5,"5-6","SO184","GeoB 10054-4/58-1",0.534963054561099,0,NA,NA
